icliente,clientedesde
TFDICB,2023-01-27
TFCU91,2021-01-26
TFDDYV,2022-07-18
TEZBRW,2022-10-28
TEZCXN,2013-05-24
TB4380,2016-02-25
TFCSVE,2020-11-26
TDC28Q,2020-05-21
TEZODM,2016-04-11
TFCRWW,2020-09-30
TFEEUM,2025-03-14
T79683,2010-01-08
TFD683,2021-12-06
T41096,2010-09-30
T10271,2003-04-28
TFDJEB,2023-03-29
TFDOTE,2023-08-02
TB2891,2016-12-12
TFBJX0,2016-02-03
TFD975,2021-12-22
T37047,2007-08-13
TFCWZP,2021-06-21
TFDORX,2023-07-31
T07810,2011-06-20
T24526,2010-02-17
T10047,2009-03-13
T53560,2006-12-03
TEVRZU,1997-11-24
TB1665,2009-10-02
TDCDHK,2022-11-22
TDCH4Z,2023-11-01
TA8583,2010-11-11
TA2578,2003-04-23
T00245,1994-11-30
T55212,2013-01-04
TFCYO5,2021-08-31
TFDA94,2021-12-29
TDCHE3,2024-10-17
TDCA6S,2022-08-22
T16514,2009-10-21
TA3294,2007-01-10
T57479,2008-09-25
TFCI28,2019-06-28
TDCGUW,2023-10-30
TEZIFS,2014-09-24
T15140,2005-09-21
TFDFDQ,2022-09-09
TFDAIL,2022-01-21
TFBJPR,2017-03-27
T00953,1994-03-01
TFECX7,2024-11-29
TFBW25,2018-03-28
TFEBRE,2024-10-03
TFEEJG,2025-02-25
TDCDGW,2023-05-12
TFCYON,2021-08-31
TFEDX4,2025-01-28
T34643,2009-01-27
TFCHMO,2019-06-14
T13047,2009-11-09
TFCJON,2019-08-29
TEZMY9,2015-11-05
TDCCR0,2022-11-22
TEZHHT,2014-06-30
T35673,2002-01-28
TDCE6C,2018-06-04
T50442,2010-02-22
T77947,2009-11-23
TFCXBC,2019-07-16
TCAQT1,2016-09-16
TFDSD7,2024-03-08
T36279,2011-03-14
TFDTNS,2024-04-26
TFCPWQ,2020-06-12
TEF091,2018-05-30
T15061,2006-05-04
TCBKBW,2016-04-28
TFECYR,2024-12-03
T22893,1991-09-17
TDCFQY,2021-06-25
CARAMU,2022-06-17
TFDSE0,2024-03-11
TEZEYE,2008-08-01
TDCE4Y,2022-09-09
TFDGGG,2022-10-27
TFECWY,2024-12-03
T47344,2005-03-31
TA3658,1998-12-01
T48850,2021-03-31
T12653,2005-07-26
TFDIYX,2022-01-17
T13935,2005-06-30
TCAYM0,2011-12-29
TB0345,2010-02-05
TDCGPY,2023-03-01
TFDEBT,2022-07-28
TFCYCX,2021-08-13
TEZJKS,2014-12-15
TEWBFO,2001-03-02
T16447,2007-06-29
TFDDRU,2022-07-04
TCAZNL,2016-07-18
TFDNLJ,2023-05-31
TFDDOB,2022-06-30
TEZDFJ,2013-06-24
TFCUUM,2021-02-04
TFECL2,2024-11-13
TDCDE4,2024-03-04
T55117,1990-08-16
TFDO96,2023-06-30
T77178,2010-01-02
TFDBWE,2022-04-05
TFDGEH,2022-10-24
TFDVKM,2024-08-30
TEZFH9,2013-12-17
TFDEHG,2022-08-03
TDCFB2,2024-07-17
TFDTS1,2024-04-30
TFDNT0,2023-06-13
T03372,2005-05-04
TCABJ7,2016-11-09
T15517,2022-11-08
TFDCDY,2022-04-29
TFCVIZ,2021-08-13
TEZHZZ,2014-08-18
TFBESR,2017-02-24
TFECN2,2024-11-18
TDCFJ6,2020-12-23
TDC00X,2018-01-01
TB6695,2017-07-10
TEZAT6,2012-10-31
TFDUGE,2024-06-13
TEZOSP,2016-06-16
T14705,2006-01-26
T03367,2010-08-20
TFEEPN,2025-02-28
TDC1NE,2020-06-01
TEZES3,2013-10-28
T14596,2006-01-10
TFEDU2,2025-01-21
T09665,2010-01-28
TFCPW1,2020-06-25
T37701,2024-03-12
TDCG0M,2023-10-20
TFDTND,2024-04-24
TFEC45,2024-10-30
TFCZXJ,2021-10-29
TFCATH,2018-09-20
TFDVAH,2024-07-31
TFECQ0,2024-11-22
TDCEDY,2021-06-30
TFCDWZ,2019-01-07
TFDQK0,2023-11-22
T36222,2012-04-13
TDC8E8,2014-04-01
TFCDZH,2019-03-15
T06008,2001-09-24
T57598,2009-01-26
TDCHCX,2024-10-14
TEXSOQ,2012-03-29
T33094,2011-12-29
TFD315,2021-11-23
T31440,2012-12-05
TEZIIE,2014-09-24
TFCP51,2020-04-02
T10506,2003-06-03
TFCEK4,2019-01-30
TDCG96,2020-04-28
TEWTYL,2010-05-25
TFCITQ,2019-07-30
TFBIP8,2017-03-08
TDCCIW,2021-11-22
TFDVAY,2024-08-01
TA3153,2015-10-02
T53231,1993-07-30
TEZBOY,2013-01-22
T44001,2003-06-27
T01436,2010-07-22
TFCASC,2022-03-01
TEZKBO,2010-09-30
TDCDEJ,2020-12-02
T29324,2010-11-22
TFDQOZ,2023-11-22
T04586,2011-01-25
T07542,2001-05-21
TB2186,2010-09-25
TFDSC8,2021-08-31
TFDUPG,2023-02-17
TFCZFM,2021-09-30
TDCEAT,2020-01-15
TFCMKC,2019-12-09
TEZFBU,2013-11-29
TFCLL0,2019-10-31
TFC462,2018-07-30
TCBJP0,2015-09-18
TDCD6Y,2021-09-30
TFCSP4,2020-11-23
TDCC1W,2022-06-21
TFCZG8,2021-09-30
T11036,2008-11-18
TFDTYP,2024-05-17
TFCX76,2021-06-20
TFCBNJ,2018-10-23
TFDTJC,2024-04-12
TFDH05,2022-11-30
TFCVEO,2021-03-26
TB2281,2011-02-10
TB1663,2009-09-05
TFD573,2013-02-22
TFDUTZ,2024-07-08
TFCYIG,2021-09-08
T01127,1997-09-16
TFEEJM,2025-02-25
TFD055,2022-11-30
T00831,1991-06-15
TEZEFG,2013-09-26
T36316,2012-09-13
T53268,2008-09-24
TEZDEP,2013-07-15
TDCFGP,2023-08-25
TFCMTK,2019-12-18
TFEDT5,2025-01-20
T24389,2012-12-14
TDCDFC,2024-02-21
TFDUK4,2024-06-24
TDCCUT,2022-11-11
TFDMC7,2023-04-28
TFBWL7,2018-04-17
TFDIEU,2023-01-31
T17299,2009-10-19
TFDJLF,2023-04-05
TDCF60,2021-08-24
TD0181,2008-03-31
TDCFFY,2020-07-03
TB4253,2014-08-20
T31057,2006-12-29
TDCC1Q,2024-07-23
T33036,1994-05-20
TB4074,2015-05-05
T09428,2009-09-29
T50331,2013-12-20
TDCEA5,2022-12-29
TFDSNV,2024-04-01
TFDIMR,2023-02-16
TDCGO3,2018-06-18
TFDAJW,2021-11-10
TFDE00,2022-07-20
T09851,2008-08-19
TDCA64,2021-06-23
TFDU38,2024-05-24
TDCF81,2012-05-31
TFEEK4,2025-02-25
TCBAE4,2022-06-21
TFBXRM,2016-07-25
T11117,2011-01-17
T07849,2015-09-02
TCAKDA,2020-01-16
TEZD92,2013-06-14
T75322,2013-09-25
TEXPMN,2012-02-17
T53719,1999-07-29
TFCFED,2019-02-28
TFBSYK,2018-01-30
TEXVFR,2012-04-04
TDC05E,2022-07-05
T46341,2004-07-30
T46479,2011-07-12
TFDCV8,2022-05-30
TFCIPB,2019-07-24
TA2928,2006-05-18
TFDSRD,2024-04-04
TDCEID,2021-09-21
T16942,2007-11-16
T17638,2006-05-22
TB6500,2017-04-10
TDC31X,2012-02-28
TDCEGT,2018-07-18
T07372,1997-06-02
TFBMSH,2016-02-26
TB4345,2014-08-10
TFDNRP,2023-06-09
TFCSJV,2020-11-03
TFCSPE,2020-11-17
TFDTTR,2024-05-07
TEZGQE,2013-11-08
TEZKF9,2015-03-30
T03753,2007-03-20
T76859,2010-08-20
TDCFEV,2020-05-27
TDCG39,2023-07-27
TFDIO4,2023-02-22
T34636,1999-02-05
TDCA2S,2020-10-29
T24827,1992-12-31
TFBNCU,2021-11-16
TFDGLY,2013-01-16
TFCKNF,2019-09-30
TFDHN6,2022-12-23
TEXKSC,2011-01-20
TDCD9Z,2021-12-13
TA3738,2015-08-20
TFDQTZ,2023-11-29
TFCVO9,2021-04-16
TDCG4G,2015-11-15
TDCCRD,2022-01-21
TDCEVI,2021-04-23
TFCBLJ,2018-10-18
T55596,2011-11-04
TFEESC,2025-03-06
TFDSFD,2024-03-15
TFDTVC,2024-05-13
TA3493,2010-10-21
TFCKNR,2019-09-30
TFDUL9,2024-06-26
TFDSI8,2024-03-22
TFDDCS,2022-06-17
TDCFHJ,2021-12-28
TDCH7J,2023-08-17
TA6050,2012-01-31
T38204,2014-10-21
TFDPRO,2023-09-25
T49600,2024-05-15
TFCLOE,2019-11-22
TB4166,2014-04-10
TFCRZ9,2020-10-06
TFCTIW,2020-12-16
TFED27,2024-12-16
TDCFDD,2022-11-16
TDCCXL,2019-11-20
TEYJD8,2012-06-29
TDCGXG,2017-03-03
T43055,2024-06-28
TDCC60,2022-01-12
TFDN76,2023-05-15
T54397,2008-07-10
TFDFVU,2022-10-04
TDCEZA,2024-05-16
T33358,2010-03-02
TFDDF5,2022-06-22
TFDISF,2023-02-28
TFDOD9,2023-06-30
TDCGAI,2018-05-22
TEZFFE,2013-12-05
T16015,2007-02-22
TCANHX,2016-06-22
T57211,2010-05-05
TFDJMK,2023-04-10
TFBXI2,2017-04-24
