cd_cliente,qtd_contratacoes_12m,vlr_contratacoes_12m
T07544,1,2104.64437581956
T01872,2,0.00840771473583952
T05174,3,1777.9121734701
T01670,2,2934.85996355266
T02817,2,4207.2204538141
T10881,1,401.771056366827
T03013,2,16802.6497452806
T10869,2,10364.8835913351
T09440,7,19478.5436872546
T05051,1,5808.16704752424
T01254,1,0.0420385736791976
T02776,2,4043.73664463306
T00336,3,546.190372384343
T00673,1,6782.37315782334
T00082,4,11436.1693798315
T02523,2,0.00840771473583952
T10703,5,9407.42144493241
T01104,1,3369.18148751929
T02076,1,0.00420385736791976
T01085,1,171.517380611126
T01502,8,90580.0396706845
T03378,2,1302.7796021757
T01777,1,2764.62896329612
T10289,2,0.00840771473583952
T01744,1,1416.37623597163
T04065,4,39024.2061612455
T02434,1,13074.7194776977
T02984,1,0
T01440,1,117.926606884885
T04398,2,25390.4535269044
T05821,1,29703.4094012364
T00686,3,0.260639156811025
T01901,2,0.016815429471679
T01259,3,12070.2077596333
T01384,2,2134.9752067291
T07621,2,9643.21160084167
T00971,1,33.1432114886794
T02963,9,93696.1699639418
T04305,4,39574.8273992956
T06468,3,323.45739745985
T07483,3,1707.93055986634
T03546,1,1119.56288650965
T04870,3,398.727463632453
T01773,1,11571.3360057823
T01487,2,0.00840771473583952
T02542,3,49.7232249477549
T02382,5,27458.2090543205
T03491,1,6332.95978590587
T05049,2,7990.45246507191
T07157,5,32011.8357629659
T03459,4,1033.37960660993
T01690,2,562.05993394824
T03314,4,125737.689163783
T00053,1,4317.9500568851
T05357,1,278.728355065184
T05995,4,446.155382457324
T03108,1,7505.82758384075
T00145,1,24.3403341602554
T02860,3,19004.3443722959
T03372,2,4477.14593155086
T07684,4,47705.5163423039
T02684,7,95449.9730154069
T09656,2,52041.6312668758
T03067,4,7483.63962465287
T03211,1,15136.5223430808
T12280,1,1029.10007980939
T07984,1,1051.25440813833
T11157,1,0.00420385736791976
T09444,2,0.00840771473583952
T12230,2,0.00840771473583952
T05395,1,7736.48482990377
T03607,1,1291.00880154553
