icliente,mrr12m
T03360,485.24525
T01872,287.070309
T01899,628.717296
T01670,207.503636
T02817,890.027855
T00788,671.421159
T00931,306.840149
T04867,17.536157
T02413,117.362319
T01356,699.314675
T01254,438.545686
T02776,2730.543276
T00336,2501.36139
T00673,399.78675
T00082,772.966671
T02523,731.220243
T05435,2247.749085
T00292,181.294905
T02076,656.081455
T00546,147.877167
CARAMU,2070.736708
T03378,2035.830738
T01008,3024.915438
T03524,261.81542
T02553,2319.282222
T01205,746.432901
T02434,1060.076484
T00151,175.290512
T01440,273.288823
T01759,917.30645
T03268,1191.057421
T00686,2981.30592
T01901,885.21165
T00390,2950.072429
T01384,2994.304206
T01526,188.544604
T00971,449.457622
T02963,1374.245237
T03650,443.675753
T01346,470.222816
T00538,1186.829461
T02725,407.17948
T04870,999.581198
T02727,358.468433
T01487,852.942941
T02424,317.682081
T01846,749.130844
T03491,4333.035165
T05049,640.229334
T05809,718.931569
T03459,2212.520134
T01173,621.733492
T00631,307.979817
T00053,448.951788
T01060,260.956643
T03213,99.721501
T02345,108.7107
T00145,222.549913
T00361,41.8169
T00255,688.874163
T05618,193.717487
T02519,161.341782
T03436,585.573599
T01695,49.103317
T03211,498.283213
T02571,604.094303
T03013,1923.067029
T09851,353.566087
T03085,996.386982
T05051,282.241065
T04389,962.665874
T03607,1448.172833
T05723,358.052049
T01724,339.01745
T01134,699.806588
T03967,789.44992
T05808,736.133831
T01104,189.4974
T03120,4632.679396
T01085,186.573018
T01502,875.923
T04247,1569.015202
T01777,340.306701
T05519,4547.769441
T02610,762.228306
T03061,2908.078305
T02810,950.10684
T02084,569.094057
T04396,646.531629
T04132,1055.428207
T05821,988.7361
T01127,302.746529
T05248,282.467806
T01259,636.044604
T01667,495.937339
T02855,1468.797205
T02266,415.066262
T03306,750.230549
T04305,901.79031
T05353,154.483378
T03415,3937.070554
T03546,310.360332
T06475,753.836444
T06654,170.180606
T02145,1635.235246
T02542,540.732916
T02382,1179.374031
T04610,7.450636
T06198,719.046394
T07157,1076.539314
T04697,812.982947
T01690,1137.111606
T01567,426.619264
T03154,1738.233807
T02282,127.522171
T03673,918.481878
T03108,819.116416
T01436,22.160555
